WinRMClient,WinRM
ExploitGuard_ControlledFolderAccess,ExploitGuard
Quarantine,AntiSpywareDefender
Rpc,System
DNS_Client,Network
Permissions,firefox
Camera,Permissions
MpEngine,AntiSpywareDefender
PenUXBehaviors,TabletPC
NvCacheCat,System
Microphone,Permissions
TS_GP_NODE,WindowsComponents
TouchInput,TabletPC
StorageHealth,System
IESF_CategoryRestrictActiveXInstall,SecurityFeatures
SignatureUpdate,AntiSpywareDefender
Handwriting,WindowsComponents
PowerButtonActionSettingsCat,PowerManagementCat
WindowsExplorer,WindowsComponents
FVERDVCategory,FVECategory
WordwheelPolicies,WindowsComponents
AutoCompleteCat,InternetSettings
QosDiffservByteMappingNonConforming,QosPsched
Scripts,System
CodeDownload,CorporateSettings
OneDrive,WindowsComponents
OptionDialog,NetMeeting
IZ_SecurityPage,InternetCPL
Encoding,InternetSettings
EnterpriseCustomization,WindowsDefenderSecurityCenter
Preferences,firefox
AppCompat,WindowsComponents
WindowsStore,WindowsComponents
MMC_GroupPolicy,MMC_RESTRICT
IESF_CategoryMimeSniffingSafetyFeature,SecurityFeatures
WindowsColorSystem,WindowsComponents
EventForwarding,WindowsComponents
SafeBrowsing_recommended,googlechrome_recommended
Maps,WindowsComponents
GAMEDVR,WindowsComponents
Netlogon_DC_Locator_DNS_Records,Netlogon
CAT_Integration,CAT_AppV
IESF_CategoryNetworkProtocolLockdown,SecurityFeatures
BackupServer,Backup
MSPassportForWorkCategory,WindowsComponents
NetworkConnectivityAssistant,Network
Arp,ControlPanel
GeneralColors,DisplaySettings
DeleteBrowsingHistory,InternetExplorer
TS_LICENSE_SERVER,TS_GP_NODE
FindMyDeviceCat,WindowsComponents
CAT_Virtualization,CAT_AppV
Cursors,TabletPC
L_Camera_GroupPolicyCategory,WindowsComponents
WlanSettings_Category,WlanSvc_Category
CAT_WindowsErrorReporting,WindowsComponents
ClientInterface,AntiSpywareDefender
SharedFolders,
MicrosoftAccountCategory,WindowsComponents
MMC_RESTRICT,MMC
Cat_Mozilla,
NetworkRealtimeInspection_Exclusions,NetworkRealtimeInspection
InternetCPL_General_Appearance,InternetCPL_General
PowerShell,WindowsComponents
PenTraining,TabletPC
OOBECategory,WindowsComponents
Proxy,googlechrome
WMPCat,WindowsComponents
Applications,UEV
SmartScreen,WindowsComponents
kerberos,System
CAT_CEIP,CAT_AppV
WdiScenarioCategory,Troubleshooting
LocationAndSensors,WindowsComponents
CplPrinters,ControlPanel
NlsManagementCat,System
WindowsUpdateCat,WindowsComponents
CAT_PackageManagement,CAT_AppV
